LINDALVA,606,43064
ROSINEIDE,607,43009
JACIRA,608,42936
DIVINO,609,42843
JUAREZ,610,42811
COSME,611,42773
GABRIELI,612,42761
DANIELI,613,42683
GENIVALDO,614,42639
DIRCEU,615,42552
ERIK,616,42421
IASMIM,617,42369
JOYCE,618,42338
ALAIDE,619,42326
EDINA,620,42163
AMILTON,621,42018
VALDINEI,622,41975
JOSILENE,623,41843
ANDREI,624,41751
JUDITE,625,41518
MARINETE,626,41253
DIVINA,627,41184
OLIVIA,628,41175
ROGER,629,40981
LAURO,630,40890
MICHELI,631,40889
GRAZIELA,632,40833
ROQUE,633,40779
DILMA,634,40632
KARLA,635,40358
ELENA,636,40101
CRISTIANA,637,39955
MAURA,638,39934
CARINE,639,39719
JHONATAN,640,39709
DIVA,641,39554
IRANI,642,39543
LORIVAL,643,39530
GEANE,644,39312
VANUSA,645,39228
MAGNO,646,39068
RAYANE,647,39057
LEDA,648,39020
DEIVID,649,38981
ESTELA,650,38943
DONIZETE,651,38833
TAIANE,652,38825
IVANETE,653,38795
ROBERT,654,38733
ERIVALDO,655,38678
KELI,656,38532
MARCUS,657,38529
VIRGINIA,658,38521
CARMELITA,659,38501
RUI,660,38333
WENDEL,661,38330
HELEN,662,38277
SAMIRA,663,38253
EMANUELE,664,38189
MILENE,665,38111
JOELSON,666,37977
NELI,667,37902
ELIO,668,37816
ALTAIR,669,37797
OSCAR,670,37767
DAYANE,671,37718
STEFANI,672,37559
ZENAIDE,673,37500
INACIO,674,37465
GIOVANNA,675,37438
MEIRE,676,37373
ANITA,677,37323
ISAURA,678,37278
JAILTON,679,37077
ISAC,680,37004
DOMINGAS,681,36928
ADELIA,682,36908
GEOVANI,683,36907
FREDERICO,684,36821
LAIANE,685,36798
HEITOR,686,36752
MARINES,687,36750
VANDERLEIA,688,36620
NATALI,689,36619
ISABELLA,690,36396
QUITERIA,691,36305
GEORGE,692,36239
SARAH,693,36228
BERNADETE,694,36211
AUREA,695,36143
AMAURI,696,36059
IAN,697,36056
DANIELLE,698,35992
ROMILDO,699,35972
IVANILDA,700,35851
JESUS,701,35774
JOSIEL,702,35746
KLEBER,703,35606
KAIO,704,35525
LEVI,705,35520
LEONICE,706,35480
ALDO,707,35413
ANE,708,35383
KEVIN,709,35296
ISAQUE,710,35186
FRANCIELI,711,35155
SHIRLEY,712,35155
IZABELA,713,34967
AMARILDO,714,34948
EDISON,715,34927
MAGDA,716,34793
EDILEUZA,717,34751
EDIMAR,718,34627
SILAS,719,34591
ROSEMEIRE,720,34546
MARIZETE,721,34545
JOSELIA,722,34504
LEANDRA,723,34464
RYAN,724,34333
ADENILSON,725,34266
MAX,726,34224
TALES,727,34146
MESSIAS,728,34115
MIRELA,729,34087
WASHINGTON,730,33901
ALCIONE,731,33898
ELIZA,732,33758
JOSENILDO,733,33719
SUELY,734,33573
LUCI,735,33447
SALVADOR,736,33395
FABRICIA,737,33375
CIBELE,738,33332
ADAIR,739,33320
ELSON,740,33252
AMARO,741,33241
SOCORRO,742,33237
DORALICE,743,33216
SORAIA,744,33159
ELISEU,745,33127
EDERSON,746,33063
GENILSON,747,32977
ALDA,748,32893
RAPHAEL,749,32882
TARCISIO,750,32849
GILMARA,751,32784
JAINE,752,32726
MARCILENE,753,32703
ELIZEU,754,32679
IRINEU,755,32648
ZENILDA,756,32641
MAYCON,757,32604
MICHELLE,758,32586
VANDERSON,759,32539
ANGELITA,760,32262
ADELAIDE,761,32247
DULCE,762,32234
WELINTON,763,32008
ICARO,764,31893
GIOVANI,765,31844
EMILLY,766,31839
DJALMA,767,31820
CELMA,768,31798
ILMA,769,31722
VALDIVINO,770,31710
ROSALIA,771,31660
SILVANO,772,31658
MANOELA,773,31618
ERALDO,774,31548
CLAUDINEIA,775,31547
WALLACE,776,31421
IONE,777,31412
VALDEIR,778,31352
EMILE,779,31285
MICAEL,780,31237
ELVIRA,781,31125
LOURIVAL,782,31107
DARIO,783,31033
TALIA,784,30949
ALLAN,785,30945
NARA,786,30913
GISLENE,787,30776
LUCELIA,788,30681
LAILA,789,30644
JACSON,790,30632
VANILDA,791,30576
JUCILENE,792,30505
ADELSON,793,30498
ADRIAN,794,30416
DIONE,795,30390
GILDA,796,30360
MATILDE,797,30270
FAGNER,798,30218
MARLUCE,799,30155
GLEICE,800,30067
EVELYN,801,30047
DORIVAL,802,30006
ESTEFANE,803,29987
EDVAN,804,29960
JOSEMAR,805,29949
JUVENAL,806,29946
JACIARA,807,29944
NEIVA,808,29901
ARIEL,809,29883
KAUE,810,29424
GENIVAL,811,29422
IVANIR,812,29391
LAISA,813,29318
IURI,814,29257
ROMILDA,815,29227
SAMANTA,816,29160
OLINDA,817,29108
ROSIMERE,818,29077
JANICE,819,29032
YAGO,820,28875
MARINEIDE,821,28842
EVERSON,822,28806
IEDA,823,28766
BEATRIS,824,28742
EDVANIA,825,28739
LAVINIA,826,28701
FRANCILENE,827,28654
JUREMA,828,28648
RAISA,829,28641
ELANE,830,28581
EUGENIO,831,28538
GELSON,832,28514
AGENOR,833,28461
WALACE,834,28436
LUDIMILA,835,28421
ILZA,836,28358
MARILZA,837,28274
JARDEL,838,28258
ADELINA,839,28234
JADSON,840,28147
GRACIELE,841,28140
JOSEFINA,842,27996
SHIRLEI,843,27993
KELVIN,844,27869
DALILA,845,27650
EMANOEL,846,27630
ADRIEL,847,27593
IVANILDE,848,27516
ROSIMAR,849,27514
WILIAM,850,27508
RONI,851,27501
ELIEL,852,27471
LEIA,853,27401
RONALD,854,27222
NOELI,855,27110
ISAAC,856,27100
NAIANE,857,27066
GIOVANE,858,26983
GETULIO,859,26978
ABEL,860,26891
JOSIVALDO,861,26871
NOEMI,862,26815
JENNIFER,863,26557
CAUE,864,26545
CAROLAINE,865,26531
MARCELINO,866,26527
NATALINA,867,26493
EUCLIDES,868,26311
CLEIDIANE,869,26227
MARI,870,26113
YAN,871,26105
NAZARE,872,25915
ALBERTINA,873,25910
TAISA,874,25839
YARA,875,25768
MAGALI,876,25699
AGUINALDO,877,25667
KAROLINE,878,25623
DARLAN,879,25422
WEVERTON,880,25419
KELY,881,25405
MACIEL,882,25384
WILMA,883,25361
LARISA,884,25350
EDIVANIA,885,25271
EXPEDITO,886,25206
CLODOALDO,887,25168
ENIO,888,25122
ELVIS,889,25117
ALOISIO,890,25099
EDIVAN,891,25044
VALDELICE,892,24912
CLAUDIANE,893,24847
CREUSA,894,24841
JUCELIA,895,24746
GEISA,896,24684
LILIA,897,24641
KAUANE,898,24627
CRISLAINE,899,24607
TULIO,900,24537
MARLY,901,24515
EDNALVA,902,24495
ADELINO,903,24468
ROSENILDA,904,24440
TADEU,905,24372
CLEIA,906,24370
ANNE,907,24350
EDINALVA,908,24333
BERENICE,909,24253
IVANA,910,24212
CLAUDIONOR,911,24196
FRANCINE,912,24176
JHONATA,913,24156
SAVIO,914,24125
EDINEIA,915,24096
VANUZA,916,24007
LUDMILA,917,23907
JUCELINO,918,23849
KAMILA,919,23831
LENI,920,23796
WILTON,921,23672
LINDINALVA,922,23670
RIVALDO,923,23578
